ubicacion,cod,descripcion,ff,laboratorio,lote,fv,presentacion,stock_inicial,entrada,salida,stoc_actual,precio_venta,comentarios
V-1,P100,FISSERUM NIGTH RETINOL 3 COMPLEX X 30 ML,FCO,FISSION LAB,851607/868207/866219,ago-25,UND,2,3,1,4, 168.00 ,
V-1,P101,FISSOZONO CREMA ANTIEDAD DIA FPS 20 X 50 ML,CREMA,FISSION LAB,23025021,feb-26,UND,1,2,1,2, 152.00 ,
V-1,P102,FISSOZONO CREMA ANTIEDAD NOCHE X 50 ML,CREMA,FISSION LAB,24026071,jun-27,UND,2,21,13,10, 152.00 ,
V-1,P103,FISSOZONO SUERO TONIFICANTE ANTIEDAD X 200 ML,FCO,FISSION LAB,,,UND,1,0,1,0, 150.00 ,
T,P104,GASA ESTERIL 5 CM X 5 CM ,DM,QMEDIC,JA221212U,,CAJA X 50,600,1250,1850,0, 1.00 ,
T,P105,GASA ESTERIL 5 CM X 5 CM ,DM,MEDICAL,201264,ene-29,CAJ X 20 ,614,1440,1554,500, 1.00 ,
T,P106,GASA PARAFINADA STERILE 10 CM X 10 CM,PARCHE,FARMACTIVE,,,CAJ X 10,8,0,8,0, 5.00 ,
I,P107,GENOMASK FLASH EFFECT MASCARILLA FACIAL VIT C C/ AC HIALURONICO,SACHET,GENOVE,20-abr,,CAJ X 6 ,12,0,12,0, 94.00 ,
,P108,GERMAINE DE CAPUCCINI HYDRACURE PROTEC LABIAL X 15 ML,TBO,ALE IMPOSER,,,UND,8,0,8,0, 68.00 ,
T,P109,GUANTES DE NITRILO: M,DM,FAMILY DOCTOR ,20211008,oct-26,CAJ X 100,4,6,9,1, 27.00 ,
T,P110,GUANTES DE NITRILO T: S,DM,FAMILY DOCTOR ,20211018,oct-26,CAJ X 100,9,0,3,6, 27.00 ,
M-2,P111,HELIOCARE 360° D PUS CAPSULAS X 30 ,CAPSULA,CANTABRIA LABS,,,FRASCO X 30,1,20,21,0, 134.00 ,
